5,hi im so glad youre here im sara whats your name, hi im so glad youre here im sara whats your name: 2,hi im sara whats your name: 0,im so glad: 305,im so glad: 504,im so glad: 711,im so glad: 919,im so glad: 1176,im so glad: 1389,im sara: 1
12,im very excited to speak with davos participants how are you, im very excited to speak with the davos participants how are you: 11,you: 1667
30,truthfully im a bit tired even robots get jetlag so im here in davos to be your personal assistant and help you to get the most out of the inaudible experience so is this your first time at davos or have you been before, so im here in davos to be your personal assistant and help you to get the most out of the wef experience: 21,so im a virtual personal assistant to help you to get the most out of your time at davos: 28,so is this your first time at davos or have you been before: 43,is this your first time attending davos or have you been before: 48,this is my first time in davos have you been here before: 1671,truthfully im a bit tired even robots get jet lag : 1669,im so good at this: 923,im so good at this: 1178,im so good at this: 1390,you: 1667
43,ive found its a lot to take in i hope that it isnt overwhelming you if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them, if you wouldnt mind sharing your goals for attending davos this year i can try to help you achieve them: 91,ive found its a lot to take in i hope that it isnt overwhelming you: 56,would this help you achieve your goals: 709,mind if i try it again: 832,mind if i try it again: 982,mind if i try it again: 1088,mind if i try it again: 1269,mind if i try again: 401,you: 1667
59,oh yes that makes sense so you know about my job can you tell me a little bit about your work, so you know about my job can you tell me a little bit about your work: 162,can you tell me about your job: 164,oh yes that makes sense: 114,that makes sense: 1312,yes: 1612,you: 1667
74,id love to do something like that shall we move on to finding some people for you to meet who are as interesting as you, shall we move on to finding some people for you to meet who are as interesting as you: 235,id love to do something like that: 169,id love to do something like that: 212,you: 1667
89,good thing i have so much inaudible memory one second while i look this up i think youd enjoy inaudible on the screen are some more details, good thing i have so much ram memory one second while i look this up: 862,one moment while i look this up: 1119,one moment while i look this up: 1338,one second while i look: 872,i think so: 1621,good: 124,good: 931,enjoy: 1725
114,lovely so i can do one of two things i can send a message to inaudible introducing you or i can give you the information and you can reach out yourself would you like me to send a message introducing you, lovely: 918,you: 1667
130,thank you then please just feel free to note down or take a photo of the information on the screen shall i find some other people who match your interests, thank you then please just feel free to note down or take a photo of the information on the screen: 988,shall i find some other people who match your interests: 1035,shall i find some other people whose interests match yours: 1271,thank you: 1627,you: 1667
135,youre quick did you finish already, youre quick did you finish already: 1012,you: 1667
143,okay this is great just a moment please, okay this is great: 1056,just a moment please: 1615,just a moment: 1125,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
153,on the screen are more details, hold on: 1126
161,sorry about that, sorry about that: 585,sorry about that: 1016,sorry about that: 1606
173,let me try again just a moment please, let me look just a moment: 651,just a moment please: 1615,just a moment: 1125
194,i had a feeling about this person so for this attendee shall i introduce you or would you like to do it yourself, so for this attendee shall i introduce you or would you like to do it yourself: 1191,i had a feeling about this person: 1175,you: 1667
203,thank you go ahead and record the information on the screen so you can send a message of introduction, thank you go ahead and record the information on the screen so you can send a message of introduction: 1224,thank you: 1627,you: 1667
148,shall we move on to finding you some interesting sessions to attend, shall we move on to finding you some interesting sessions to attend: 237,you: 1667
225,please wait a moment while i look some up wow i would love to go to this one you can see the information about it on my screen, wow i would love to go to this one you can see the information about it on my screen: 274,just hold on a moment while i look this up: 1560,just hold on a moment while i look this up: 1561,please wait a moment while i look some up: 256,one moment while i look this up: 1119,one moment while i look this up: 1338,one second while i look: 872,you: 1667
260,im so glad in fact i can send a message through the inaudible private message out to remind you of the details of the session or you can just jot them down or take a photo of the screen would you like me to send inaudible okay look for a message from me in your inaudible private message inbox shall we move on to finding you some places to ease your hunger, shall we move on to finding you some places to ease your hunger: 236,great im so glad i could send you a message: 565,shall i send the details through toplink: 541,im so glad you approve: 932,im so glad: 305,im so glad: 504,im so glad: 711,im so glad: 919,im so glad: 1176,im so glad: 1389,you: 1667
279,there are several inaudible options in the inaudible center and some great restaurants throughout davos if youre a health nut like me theres the health bar on the lower level of the inaudible center inaudible coffee and tea i have put a print up on the screen behind me, there are several food options in the congress center and some great restaurants throughout davos: 1480,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
287,now i’m daydreaming about pastries will that keep you from starving for the moment, now im day dreaming about pastries will that keep you from starving for the moment: 1514,will that keep you from starving just for the moment: 1513,will that keep you from starving just for the moment: 1522,you: 1667
300,im glad its important to keep your strength up i understand you are busy so i can let you go if you want but before you do want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,im glad its important to keep your strength up: 1525,im so glad you approve: 932,im so glad: 305,im so glad: 504,im so glad: 711,im so glad: 919,im so glad: 1176,im so glad: 1389,i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,you: 1667
303,are you ready, are you ready: 1568,you: 1667
317,okay one two three smile this is so inaudible us thank you i will send this to your inaudible account, cool thank you i will send this to your toplink account: 1570,ok one two three smile: 1569,thank you: 1627,you: 1667
323,all right this seems like a start is there anything else i can help you with, alright this seems like a start is there anything else i can help you with: 1573,you: 1667
329,i enjoyed helping you come back inaudible, you: 1667
331,have a good inaudible, good: 124,good: 931
332,bye, bye: 1605
