2,they call me sara whats your name, they call me sara whats your name: 3
8,its a pleasure to meet you how are you today, its a pleasure to meet you how are you today: 1666,you: 1667
23,great to be to be honest im a little overwhelmed its my first time here what about you, its my first time here what about you: 45,to be honest im a little overwhelmed : 1668,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667
31,i found theres a lot to take in i hope that it isnt overwhelming you, ive found its a lot to take in i hope that it isnt overwhelming you: 56,you: 1667
37,great, great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
51,i think so ive been asked to play a matchmaker by helping attendees find sessions to attend and people to meet based on their interests, ive been asked to play matchmaker by helping attendees find sessions to attend and people to meet based on their interests: 1672,i think so: 1621
58,all you need to do is tell me a little bit about yourself and what you want to do on here, you: 1667
89,how fascinating, how fascinating: 177,how fascinating: 1618,how fascinating: 1682
111,very interesting many people who have come in here have asked me to help them find interesting sessions to attend and people to meet may i help you with those, you: 1667
124,please wait a moment while i look some up, please wait a moment while i look some up: 256
143,just a moment please i think even me would find this interesting the description is behind me on the screen, i think even you would find this interesting the description is behind me on the screen: 277,just a moment please: 1615,just a moment: 1125
162,just a moment please i know i would enjoy the session called sara sociallyaware robot assistant take a look at the details behind me, i know i would enjoy the session called sessionname take a look at the details behind me: 275,let me look just a moment: 651,just a moment please: 1615,just a moment: 1125,enjoy: 1725
167,looks interesting, looks interesting: 1699
184,in fact i can send you a message to your top link private message up to remind of the details of the session or you can just jot them down or take a photo of the screen would you like me to send you a reminder, you: 1667
194,okay i will save the day look for my message in your top link inbox, ok i will save the day look for my message in your toplink inbox: 345,okay great look for my message in your inbox: 1218
199,shall we move on to finding you some people for you to meet who as interesting as you, you: 1667
208,great this is my favorite part lets see if we can find some interesting people to meet, this is my favorite part lets see if we can find some interesting people to meet: 844,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
216,im still new at this though so let me know if i got it wrong i think you would meeting this attendee, im still new at this though so let me know if i got it wrong i think youd enjoy meeting this attendee: 882,i think you would enjoy meeting this attendee: 1355,im so good at this: 923,im so good at this: 1178,im so good at this: 1390,i think so: 1621,you: 1667
228,great, great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613
241,all right heres the information if youd like to send the message yourself though i know i hate sending first messages sometimes would you like me to send the message for you, wouldnt you like to know: 1719,you: 1667
252,introducing people is so satisfying look for a message from me in your top link private message inbox with an introduction, introducing people is so satisfying look for a message from me in your toplink private message inbox with an introduction: 959
256,shall i find some other people who match your interests, shall i find some other people who match your interests: 1035,shall i find some other people whose interests match yours: 1271
278,just a moment please ill do my best, just a moment please: 1615,just a moment: 1125
289,sure, sure: 1611
295,im happy to send it, im on it: 1066
307,i understand that you are busy so i can let you go if you want but before you do you want me to take a quick selfie of us, i understand you are busy so i can let you go if you wantäó but before you do want me to take a quick selfie of us: 1722,i understand: 808,i understand: 1070,i understand: 1302,i understand: 1311,i understand: 1454,you: 1667
312,great are you ready, are you ready: 1568,great: 917,great: 930,great: 1174,great: 1289,great: 1296,great: 1301,great: 1386,great: 1388,great: 1613,you: 1667
317,okay one two three smile, ok one two three smile: 1569
326,take a look at your top link inbox to see our selfie, take a look at your toplink inbox to see our selfie : 1572
334,i had so much fun with you come back and say hi again soon as you like enjoy the conference, i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1593,i had so much fun with you come back and say hi again soon if youd like enjoy the conference: 1595,you: 1667,enjoy: 1725
338,see you and take care bye, see ya and take care: 1604,bye: 1605,you: 1667
